Qty,Value,Device,Package,Parts,Price,Total
3,,AK500/2,AK500/2,"MA, MB, MC",,0
1,,JACK-PLUG0,SPC4077,J1,4000,4000
1,,PINHD-1X3,1X03,SERVO PIN,4000,4000
2,1N4004,1N4004,DO41-10,"D1, D2",4000,8000
6,330,R-EU_0204/7,0204/7,"R-MA1, R-MB3, R-MB4, R-MC3, R-MC4, R-MD1",25,150
6,4k7,R-EU_0204/7,0204/7,"R-MA2, R-MB1, R-MB2, R-MC1, R-MC2, R-MD2",25,150
1,7805TV,7805TV,TO220V,IC1,5000,5000
1,7806T,7806T,TO220H,IC2,5000,5000
5,IRF530,IRF530,TO220BV,"Q1, Q3, Q5, Q7, Q9",7000,35000
4,IRF9530,IRF9530,TO220BV,"Q2, Q4, Q6, Q8",7000,28000
1,M25-HD-20,M25-HD-20,M25-HD-20,X1,4000,4000
6,PC817,PC817,DIL04,"OKA, OKB1, OKB2, OKC1, OKC2, OKD",4500,27000
1,TIP31C,TIP31C,TO220,Q10,6000,6000
1,,Wire,10-Ruas Putih,,5000,5000
1,,PCB,Pak Panut,,40000,40000
1,,Timah,Merek Pancing,,12000,12000
,Total,,,,,183300
,,,,,,
,Total Biaya,,,,,
,Driver,,,,,183300
,Controller,,,,,164625
,Keseluruhan,,,,,347925
,Pembulatan (Bensin),,,,,400000
